PL_T,TINKLAS,OBJ_PAVADINIMAS,OBJ_GV_TIPAS,OBJ_NUMERIS,P+,P-
2020-06-01 00:00:00,Alytaus regiono tinklas,Namas,G,87126,0.8492,0.0
2020-06-01 01:00:00,Alytaus regiono tinklas,Namas,G,87126,0.5986,0.0
2020-06-01 02:00:00,Alytaus regiono tinklas,Namas,G,87126,0.6614,0.0
2020-06-01 03:00:00,Alytaus regiono tinklas,Namas,G,87126,1.5372,0.0
2020-06-01 04:00:00,Alytaus regiono tinklas,Namas,G,87126,0.5253,0.0
2020-06-01 05:00:00,Alytaus regiono tinklas,Namas,G,87126,0.8937,0.0014
2020-06-01 06:00:00,Alytaus regiono tinklas,Namas,G,87126,2.7502,0.011
2020-06-01 07:00:00,Alytaus regiono tinklas,Namas,G,87126,0.2878,0.0508
2020-06-01 08:00:00,Alytaus regiono tinklas,Namas,G,87126,0.872,0.4369
2020-06-01 09:00:00,Alytaus regiono tinklas,Namas,G,87126,0.0025,2.0041
2020-06-01 10:00:00,Alytaus regiono tinklas,Namas,G,87126,0.0,3.268
2020-06-01 11:00:00,Alytaus regiono tinklas,Namas,G,87126,0.0002,4.1317
2020-06-01 12:00:00,Alytaus regiono tinklas,Namas,G,87126,0.0074,3.9832
2020-06-01 13:00:00,Alytaus regiono tinklas,Namas,G,87126,0.0045,5.0997
2020-06-01 14:00:00,Alytaus regiono tinklas,Namas,G,87126,0.0351,4.526
2020-06-01 15:00:00,Alytaus regiono tinklas,Namas,G,87126,0.3046,2.3111
2020-06-01 16:00:00,Alytaus regiono tinklas,Namas,G,87126,0.064,2.489
2020-06-01 17:00:00,Alytaus regiono tinklas,Namas,G,87126,0.2831,1.8428
2020-06-01 18:00:00,Alytaus regiono tinklas,Namas,G,87126,0.7079,0.2782
2020-06-01 19:00:00,Alytaus regiono tinklas,Namas,G,87126,0.3802,0.0623
2020-06-01 20:00:00,Alytaus regiono tinklas,Namas,G,87126,1.1828,0.0089
2020-06-01 21:00:00,Alytaus regiono tinklas,Namas,G,87126,2.047,0.0
2020-06-01 22:00:00,Alytaus regiono tinklas,Namas,G,87126,0.6404,0.0
2020-06-01 23:00:00,Alytaus regiono tinklas,Namas,G,87126,1.48,0.0
2020-06-02 00:00:00,Alytaus regiono tinklas,Namas,G,87126,0.5451,0.0
2020-06-02 01:00:00,Alytaus regiono tinklas,Namas,G,87126,0.7351,0.0
2020-06-02 02:00:00,Alytaus regiono tinklas,Namas,G,87126,1.5601,0.0
2020-06-02 03:00:00,Alytaus regiono tinklas,Namas,G,87126,0.6234,0.0
2020-06-02 04:00:00,Alytaus regiono tinklas,Namas,G,87126,1.1813,0.0
2020-06-02 05:00:00,Alytaus regiono tinklas,Namas,G,87126,1.1134,0.0012
2020-06-02 06:00:00,Alytaus regiono tinklas,Namas,G,87126,2.021,0.0123
2020-06-02 07:00:00,Alytaus regiono tinklas,Namas,G,87126,1.0762,0.0501
2020-06-02 08:00:00,Alytaus regiono tinklas,Namas,G,87126,0.6122,0.5629
2020-06-02 09:00:00,Alytaus regiono tinklas,Namas,G,87126,0.0008,1.8404
2020-06-02 10:00:00,Alytaus regiono tinklas,Namas,G,87126,0.0,3.4277
2020-06-02 11:00:00,Alytaus regiono tinklas,Namas,G,87126,0.0491,3.5403
2020-06-02 12:00:00,Alytaus regiono tinklas,Namas,G,87126,0.13,3.3092
