timestamp,price,load,gen_ren,P_ch,P_dis,SoC,P_grid_buy,P_grid_sell,P_ren_load,P_ren_ch,P_ren_grid
2022-09-01T01:00:00.000,309.99,0.354,0,0,0.354,4.6273684,0,0.354,0,0,0
2022-09-01T02:00:00.000,309.93,0.347,0,0,0.347,4.2621053,0,0.347,0,0,0
2022-09-01T03:00:00.000,309.91,0.2,0.017,0.017,0.2,4.0677289,0,0.2,0,0.017,0
2022-09-01T04:00:00.000,176.93,0.003,2.314,2.314,0,6.2660289,0.003,0,0,2.314,0
2022-09-01T05:00:00.000,309.97,0.053,3.796,1.9434669,0.053,8.0565331,0,1.9055331,0,1.9434669,1.8525331
2022-09-01T06:00:00.000,532.8,0.003,5.978,0.38044719,0.003,8.4148,0,5.6005528,0,0.38044719,5.5975528
2022-09-01T07:00:00.000,646.7,0,8.804,0,0,8.4148,0,8.804,0,-0,8.804
2022-09-01T08:00:00.000,671.46,0,10.616,0.616,0,9,0,10,0,0.616,10
2022-09-01T09:00:00.000,671.34,0,7.519,0,0,9,0,7.519,0,-0,7.519
2022-09-01T10:00:00.000,618.6,0,7.288,0,0,9,0,7.288,0,-0,7.288
2022-09-01T11:00:00.000,587.13,0,8.475,0,0,9,0,8.475,0,-0,8.475
2022-09-01T12:00:00.000,609.14,0,5.544,0,0,9,0,5.544,0,-0,5.544
2022-09-01T13:00:00.000,603.56,0,4.468,0,0,9,0,4.468,0,-0,4.468
2022-09-01T14:00:00.000,605.53,0,2.446,0,0,9,0,2.446,0,-0,2.446
2022-09-01T15:00:00.000,609.16,0.193,1.463,0.21385042,0.193,9,0,1.4421496,0,0.21385042,1.2491496
2022-09-01T16:00:00.000,627.37,0.902,0.106,0.106,0.095665,9,0.806335,0.095665,0,0.106,0
2022-09-01T17:00:00.000,621.05,1.013,0,0,0,9,1.013,0,0,-0,0
2022-09-01T18:00:00.000,661.21,0.519,0,0,0,9,0.519,0,0,-0,0
2022-09-01T19:00:00.000,692.86,2.046,0,0,0.632,8.3347368,1.414,0.632,0,-0,0
2022-09-01T20:00:00.000,736.23,1.439,0,0,1.439,6.82,0,1.439,0,-0,0
2022-09-01T21:00:00.000,711.29,1.729,0,0,1.729,5,0,1.729,0,-0,0
2022-09-01T22:00:00.000,644.17,0.394,0,0,0,5,0.394,0,0,-0,0
2022-09-01T23:00:00.000,575.32,0.371,0,0,-2.7755576e-16,5,0.371,0,0,-0,0
2022-09-02T00:00:00.000,501.68,0.354,0,0,0.354,4.6273684,0,0.354,0,0,0
2022-09-02T01:00:00.000,456.05,0.36,0,0,0.36,4.2484211,0,0.36,0,-0,0
2022-09-02T02:00:00.000,408.69,0.363,0,0,0.363,3.8663158,0,0.363,0,-0,0
2022-09-02T03:00:00.000,385.86,0.208,0.016,0,0.208,3.6473684,0,0.224,0,-0,0.016
2022-09-02T04:00:00.000,353.97,0.008,2.413,1.6061856,0.008,5.1648237,0,0.8148144,0,1.6061856,0.8068144
2022-09-02T05:00:00.000,391.73,0,4.737,0,0,5.1648237,0,4.737,0,-0,4.737
2022-09-02T06:00:00.000,445.42,0,8.387,0,0,5.1648237,0,8.387,0,-0,8.387
2022-09-02T07:00:00.000,532.14,0,10.051,0.051,0,5.2132737,0,10,0,0.051,10
2022-09-02T08:00:00.000,566.1,0,9.92,0,0,5.2132737,0,9.92,0,-0,9.92
2022-09-02T09:00:00.000,582.63,0.002,12.087,2.089,0.002,7.1957184,0,10,0,2.089,9.998
2022-09-02T10:00:00.000,529.89,0.007,11.14,1.147,0.007,8.278,0,10,0,1.147,9.993
2022-09-02T11:00:00.000,497.53,0,10.76,0.76,0,9,0,10,0,0.76,10
2022-09-02T12:00:00.000,477.64,0,5.652,0,0,9,0,5.652,0,-0,5.652
2022-09-02T13:00:00.000,410.59,0,3.705,0,0,9,0,3.705,0,-0,3.705
2022-09-02T14:00:00.000,415.04,0,1.669,0,0,9,0,1.669,0,-0,1.669
2022-09-02T15:00:00.000,399.67,0.005,0.928,0.0055401662,0.005,9,0,0.92745983,0,0.0055401662,0.92245983
2022-09-02T16:00:00.000,445.81,0.107,0.112,0.112,0.10108,9,0.00592,0.10108,0,0.112,0
2022-09-02T17:00:00.000,463.94,0.789,0,0,0,9,0.789,0,0,-0,0
2022-09-02T18:00:00.000,527.58,1.144,0,0,0.944,8.0063158,0.2,0.944,0,-0,0
2022-09-02T19:00:00.000,552.92,1.388,0,0,1.388,6.5452632,0,1.388,0,-0,0
2022-09-02T20:00:00.000,602.72,0.845,0,0,0.845,5.6557895,0,0.845,0,-0,0
2022-09-02T21:00:00.000,558.92,0.623,0,0,0.623,5,0,0.623,0,-0,0
2022-09-02T22:00:00.000,400.06,0.942,0,0,0,5,0.942,0,0,-0,0
2022-09-02T23:00:00.000,350.2,0.364,0,0,-3.8857806e-16,5,0.364,0,0,-0,0
2022-09-03T00:00:00.000,189.29,0.354,0,0,0.354,4.6273684,0,0.354,0,0,0
2022-09-03T01:00:00.000,268.83,0.352,0,0,0.352,4.2568421,0,0.352,0,0,0
2022-09-03T02:00:00.000,218.98,0.352,0,0,0.352,3.8863158,0,0.352,0,-0,0
2022-09-03T03:00:00.000,250,0.207,0.016,0,0.207,3.6684211,0,0.223,0,-0,0.016
2022-09-03T04:00:00.000,250.03,0.002,2.095,0,0.002,3.6663158,0,2.097,0,-0,2.095
2022-09-03T05:00:00.000,243.33,0,4.223,0,0,3.6663158,0,4.223,0,-0,4.223
2022-09-03T06:00:00.000,291.67,0,8.346,0,0,3.6663158,0,8.346,0,-0,8.346
2022-09-03T07:00:00.000,275,0,7.42,0,0,3.6663158,0,7.42,0,-0,7.42
2022-09-03T08:00:00.000,370.08,0,10.789,0.789,0,4.4158658,0,10,0,0.789,10
2022-09-03T09:00:00.000,400.57,0,9.518,0,0,4.4158658,0,9.518,0,-0,9.518
2022-09-03T10:00:00.000,369.58,0,11.065,1.065,0,5.4276158,0,10,0,1.065,10
2022-09-03T11:00:00.000,201.77,0,7.307,0,0,5.4276158,0,7.307,0,-0,7.307
2022-09-03T12:00:00.000,128.28,0,5.174,0.81040443,0,6.1975,0,4.3635956,0,0.81040443,4.3635956
2022-09-03T13:00:00.000,110.49,0,3.674,1.95,0,8.05,0,1.724,0,1.95,1.724
2022-09-03T14:00:00.000,113.17,0,3.078,1,0,9,0,2.078,0,1,2.078
2022-09-03T15:00:00.000,112.54,0.42,0.377,0.377,0.3402425,9,0.0797575,0.3402425,0,0.377,0
2022-09-03T16:00:00.000,161.95,0.708,0.019,0.019,0.0171475,9,0.6908525,0.0171475,0,0.019,0
2022-09-03T17:00:00.000,240.01,1.369,0,0,0,9,1.369,0,0,-0,0
2022-09-03T18:00:00.000,295.79,1.323,0,0,0.098,8.8968421,1.225,0.098,0,-0,0
2022-09-03T19:00:00.000,453.63,0.792,0,0,0.792,8.0631579,0,0.792,0,-0,0
2022-09-03T20:00:00.000,530,1.271,0,0,1.271,6.7252632,0,1.271,0,-0,0
2022-09-03T21:00:00.000,508.82,0.684,0,0,0.684,6.0052632,0,0.684,0,-0,0
2022-09-03T22:00:00.000,404.66,0.59,0,0,0.59,5.3842105,0,0.59,0,-0,0
2022-09-03T23:00:00.000,374.35,0.365,0,0,0.365,5,0,0.365,0,-0,0
2022-09-04T00:00:00.000,308.04,0.351,0,0,0.351,4.6305263,0,0.351,0,0,0
2022-09-04T01:00:00.000,208.01,0.352,0,0,0.352,4.26,0,0.352,0,0,0
2022-09-04T02:00:00.000,115.27,0.35,0,0,0.35,3.8915789,0,0.35,0,-0,0
2022-09-04T03:00:00.000,90.07,0.217,0.012,0.012,0.217,3.6745579,0,0.217,0,0.012,0
2022-09-04T04:00:00.000,90.05,0.008,2.294,2.294,0.008,5.8454368,0,0.008,0,2.294,0
2022-09-04T05:00:00.000,90.07,0,4.657,2.1305452,0,7.8694548,0,2.5264548,0,2.1305452,2.5264548
2022-09-04T06:00:00.000,167.64,0,8.246,0,0,7.8694548,0,8.246,0,-0,8.246
2022-09-04T07:00:00.000,211.07,0,10.085,0.085,0,7.9502048,0,10,0,0.085,10
2022-09-04T08:00:00.000,226.39,0.018,10.409,0.427,0.018,8.3369074,0,10,0,0.427,9.982
2022-09-04T09:00:00.000,209.95,0.017,9.476,0,0.017,8.3190127,0,9.493,0,-0,9.476
2022-09-04T10:00:00.000,179.31,0,5.827,0,0,8.3190127,0,5.827,0,-0,5.827
2022-09-04T11:00:00.000,114.84,0,8.544,0,0,8.3190127,0,8.544,0,-0,8.544
2022-09-04T12:00:00.000,92.41,0,4.949,0.71682875,0,9,0,4.2321712,0,0.71682875,4.2321712
2022-09-04T13:00:00.000,99.95,0,3.015,0,0,9,0,3.015,0,-0,3.015
2022-09-04T14:00:00.000,100.01,0.022,3.074,0.024376731,0.022,9,0,3.0716233,0,0.024376731,3.0496233
2022-09-04T15:00:00.000,110.38,0.385,0.375,0.375,0.3384375,9,0.0465625,0.3384375,0,0.375,0
2022-09-04T16:00:00.000,116.52,0.666,0.008,0.008,0.00722,9,0.65878,0.00722,0,0.008,0
2022-09-04T17:00:00.000,232.25,1.647,0,0,0,9,1.647,0,0,-0,0
2022-09-04T18:00:00.000,375,2.088,0,0,0.714,8.2484211,1.374,0.714,0,-0,0
2022-09-04T19:00:00.000,455.47,0.656,0,0,0.656,7.5578947,0,0.656,0,-0,0
2022-09-04T20:00:00.000,509.93,0.481,0,0,0.481,7.0515789,0,0.481,0,-0,0
2022-09-04T21:00:00.000,509.93,0.526,0,0,0.526,6.4978947,0,0.526,0,-0,0
2022-09-04T22:00:00.000,445,1.063,0,0,1.063,5.3789474,0,1.063,0,-0,0
2022-09-04T23:00:00.000,409.67,0.36,0,0,0.36,5,0,0.36,0,-0,0
2022-09-05T00:00:00.000,240.71,0.359,0,0,0.359,4.6221053,0,0.359,0,0,0
2022-09-05T01:00:00.000,182.91,0.358,0,0,0.358,4.2452632,0,0.358,0,-0,0
2022-09-05T02:00:00.000,182.99,0.353,0,0,0.353,3.8736842,0,0.353,0,-0,0
2022-09-05T03:00:00.000,191.53,0.219,0.01,0.01,0.219,3.6526579,0,0.219,0,0.01,0
2022-09-05T04:00:00.000,210,0.017,1.87,1.87,0.017,5.4112632,0,0.017,0,1.87,0
2022-09-05T05:00:00.000,239.33,0,4.672,2.3531984,0,7.6468016,0,2.3188016,0,2.3531984,2.3188016
2022-09-05T06:00:00.000,367.52,0,8.31,0,0,7.6468016,0,8.31,0,-0,8.31
2022-09-05T07:00:00.000,459.9,0,9.923,0,0,7.6468016,0,9.923,0,-0,9.923
2022-09-05T08:00:00.000,506.5,0.007,6.997,0,0.007,7.6394332,0,7.004,0,-0,6.997
2022-09-05T09:00:00.000,519.93,0.02,7.544,0,0.02,7.6183806,0,7.564,0,-0,7.544
2022-09-05T10:00:00.000,478.92,0,4.415,0,0,7.6183806,0,4.415,0,-0,4.415
2022-09-05T11:00:00.000,431.66,0.097,3.592,0,0.097,7.5162753,0,3.689,0,-0,3.592
2022-09-05T12:00:00.000,387.98,0.042,5.158,0,0.042,7.4720648,0,5.2,0,-0,5.158
2022-09-05T13:00:00.000,379.64,0,3.657,0,0,7.4720648,0,3.657,0,-0,3.657
2022-09-05T14:00:00.000,343.62,0.31,2.088,1.1708432,0.31,8.25805,0,1.2271568,0,1.1708432,0.91715683
2022-09-05T15:00:00.000,293.05,0,0.781,0.781,0,9,0,0,0,0.781,0
2022-09-05T16:00:00.000,379.62,0.342,0.019,0.019,0.0171475,9,0.3248525,0.0171475,0,0.019,0
2022-09-05T17:00:00.000,391.8,1.557,0,0,0.264,8.7221053,1.293,0.264,0,-0,0
2022-09-05T18:00:00.000,487.05,0.967,0,0,0.967,7.7042105,0,0.967,0,-0,0
2022-09-05T19:00:00.000,549.9,0.777,0,0,0.777,6.8863158,0,0.777,0,-0,0
2022-09-05T20:00:00.000,582.97,1.065,0,0,1.065,5.7652632,0,1.065,0,-0,0
2022-09-05T21:00:00.000,506.82,0.369,0,0,0.369,5.3768421,0,0.369,0,-0,0
2022-09-05T22:00:00.000,410.06,0.358,0,0,0.358,5,0,0.358,0,-0,0
2022-09-05T23:00:00.000,268.44,0.359,0,0,2.220446e-16,5,0.359,0,0,-0,0
2022-09-06T00:00:00.000,147.97,0.348,0,0,0.348,4.6336842,0,0.348,0,0,0
2022-09-06T01:00:00.000,55.74,0.348,0,0,0,4.6336842,0.348,0,0,0,0
2022-09-06T02:00:00.000,59.49,0.348,0,0,0,4.6336842,0.348,0,0,-0,0
2022-09-06T03:00:00.000,136.93,0.239,0.002,0.002,0.239,4.3840053,0,0.239,0,0.002,0
