,D,G_pv,G_w,P_spot,P_pv_use,P_w_use,P_ch,P_dis,E,P_grid_imp,P_grid_exp,price,load,gen_ren
2022-09-01T01:00:00.000,0.354,0,0,0.30999,0,0,0,0.354,1453.3667,0,0,0.30999,0.354,0
2022-09-01T02:00:00.000,0.347,0,0,0.30993,0,0,0,0.347,1453.0015,0,0,0.30993,0.347,0
2022-09-01T03:00:00.000,0.2,0.017,0,0.30991,0,0,0,6.4217083,1446.2418,0,6.2217083,0.30991,0.2,0.017
2022-09-01T04:00:00.000,0.003,2.314,0,0.17693,118.70339,0,0,609.48051,804.68335,0,728.1809,0.17693,0.003,2.314
2022-09-01T05:00:00.000,0.053,3.796,0,0.30997,389.27086,0,0,610.78214,161.75478,0,1000,0.30997,0.053,3.796
2022-09-01T06:00:00.000,0.003,5.978,0,0.5327999999999999,1093.9242,0,93.921208,0,250.97993,0,1000,0.5327999999999999,0.003,5.978
2022-09-01T07:00:00.000,0,8.804,0,0.6467,1031.3368,0,1190.7761,1159.4394,161.75478,0,1000,0.6467,0,8.804
2022-09-01T08:00:00.000,0,10.616,0,0.6714600000000001,1942.6369,0,942.63691,0,1057.2599,0,1000,0.6714600000000001,0,10.616
2022-09-01T09:00:00.000,0,7.519,0,0.67134,672.49533,0,1079.3296,1406.8343,601.74478,0,1000,0.67134,0,7.519
2022-09-01T10:00:00.000,0,7.288,0,0.6186,1333.6415,0,333.64147,0,918.70418,0,1000,0.6186,0,7.288
2022-09-01T11:00:00.000,0,8.475,0,0.58713,1550.8523,0,550.85228,0,1442.0138,0,1000,0.58713,0,8.475
2022-09-01T12:00:00.000,0,5.544,0,0.60914,1014.5044,0,14.504431,0,1455.7931,0,1000,0.60914,0,5.544
2022-09-01T13:00:00.000,0,4.468,0,0.60356,817.60566,0,0,0,1455.7931,0,817.60566,0.60356,0,4.468
2022-09-01T14:00:00.000,0,2.446,0,0.60553,124.88387,0,0,645.42628,776.39697,0,770.31015,0.60553,0,2.446
2022-09-01T15:00:00.000,0.193,1.463,0,0.6091599999999999,0,0,0,535.62589,212.58024,0,535.43289,0.6091599999999999,0.193,1.463
2022-09-01T16:00:00.000,0.902,0.106,0,0.62737,0,0,0,39.696181,170.79478,0,38.794181,0.62737,0.902,0.106
2022-09-01T17:00:00.000,1.013,0,0,0.62105,0,0,0,1.013,169.72847,0,0,0.62105,1.013,0
2022-09-01T18:00:00.000,0.519,0,0,0.6612100000000001,0,0,0,0.519,169.18215,0,0,0.6612100000000001,0.519,0
2022-09-01T19:00:00.000,2.046,0,0,0.69286,0,0,0,2.046,167.02847,0,0,0.69286,2.046,0
2022-09-01T20:00:00.000,1.439,0,0,0.73623,0,0,0,1.439,165.51373,0,0,0.73623,1.439,0
2022-09-01T21:00:00.000,1.729,0,0,0.71129,0,0,0,1.729,163.69373,0,0,0.71129,1.729,0
2022-09-01T22:00:00.000,0.394,0,0,0.6441699999999999,0,0,0,0.394,163.27899,0,0,0.6441699999999999,0.394,0
2022-09-01T23:00:00.000,0.371,0,0,0.57532,0,0,0,0.371,162.88847,0,0,0.57532,0.371,0
2022-09-02T00:00:00.000,0.354,0,0,0.50168,0,0,0,0.354,162.51584,0,0,0.50168,0.354,0
2022-09-02T01:00:00.000,0.36,0,0,0.45605,0,0,0,0.36,162.13689,0,0,0.45605,0.36,0
2022-09-02T02:00:00.000,0.363,0,0,0.40869,0,0,0,0.363,161.75478,0,0,0.40869,0.363,0
2022-09-02T03:00:00.000,0.208,0.016,0,0.38586000000000004,3.0318627,0,0,0,161.75478,0,2.8238627,0.38586000000000004,0.208,0.016
2022-09-02T04:00:00.000,0.008,2.413,0,0.35397,441.5623,0,0,0,161.75478,0,441.5543,0.35397,0.008,2.413
2022-09-02T05:00:00.000,0,4.737,0,0.39173,866.83036,0,0,2.2032068e-14,161.75478,0,866.83036,0.39173,0,4.737
2022-09-02T06:00:00.000,0,8.387,0,0.44542000000000004,1095.0124,0,974.48572,879.47336,161.75478,0,1000,0.44542000000000004,0,8.387
