timestamp,load,gen_pv,price,P_pv_use,P_ch,P_dis,P_grid_imp,P_grid_exp,E
2022-08-31T21:00:00.000Z,0.361,0,309.99,0,0,0,0.361,0,5
2022-08-31T22:00:00.000Z,0.354,0,309.99,0,0,0,0.354,0,5
2022-08-31T23:00:00.000Z,0.347,0,309.93,0,0,0,0.347,0,5
2022-09-01T00:00:00.000Z,0.2,0.017,309.91,0,0.017,0,0.217,0,5.01615
2022-09-01T01:00:00.000Z,0.003,2.314,176.93,0,2.314,0,2.317,0,7.21445
2022-09-01T02:00:00.000Z,0.053,3.796,309.97,2.2244737,1.5715263,0,0,0.59994737,8.7074
2022-09-01T03:00:00.000Z,0.003,5.978,532.8,5.978,0,0,0,5.975,8.7074
2022-09-01T04:00:00.000Z,0,8.804,646.7,8.804,0,0,0,8.804,8.7074
2022-09-01T05:00:00.000Z,0,10.616,671.46,10.308,0.308,0,0,10,9
2022-09-01T06:00:00.000Z,0,7.519,671.34,7.519,0,0,0,7.519,9
2022-09-01T07:00:00.000Z,0,7.288,618.6,7.288,0,0,0,7.288,9
2022-09-01T08:00:00.000Z,0,8.475,587.13,8.475,0,0,0,8.475,9
2022-09-01T09:00:00.000Z,0,5.544,609.14,5.544,0,0,0,5.544,9
2022-09-01T10:00:00.000Z,0,4.468,603.56,4.468,0,0,0,4.468,9
2022-09-01T11:00:00.000Z,0,2.446,605.53,2.446,0,0,0,2.446,9
2022-09-01T12:00:00.000Z,0.193,1.463,609.16,1.463,0,0,0,1.27,9
2022-09-01T13:00:00.000Z,0.902,0.106,627.37,0.106,0,0,0.796,0,9
2022-09-01T14:00:00.000Z,1.013,0,621.05,0,0,0,1.013,0,9
2022-09-01T15:00:00.000Z,0.519,0,661.21,0,0,0,0.519,0,9
2022-09-01T16:00:00.000Z,2.046,0,692.86,0,0,1.6,0.446,0,7.3157895
2022-09-01T17:00:00.000Z,1.439,0,736.23,0,0,3,0,1.561,4.1578947
2022-09-01T18:00:00.000Z,1.729,0,711.29,0,0,3,0,1.271,1
2022-09-01T19:00:00.000Z,0.394,0,644.17,0,0,0,0.394,0,1
2022-09-01T20:00:00.000Z,0.371,0,575.32,0,0,0,0.371,0,1
2022-09-01T21:00:00.000Z,0.354,0,501.68,0,0,0,0.354,0,1
2022-09-01T22:00:00.000Z,0.36,0,456.05,0,0,0,0.36,0,1
2022-09-01T23:00:00.000Z,0.363,0,408.69,0,0,0,0.363,0,1
2022-09-02T00:00:00.000Z,0.208,0.016,385.86,0.016,-0,0,0.192,0,1
