PL_T,TINKLAS,OBJ_PAVADINIMAS,OBJ_GV_TIPAS,OBJ_NUMERIS,P+,P-
2022-09-01 00:00,Kauno regiono tinklas,NAMAS,G,196,0.065,
2022-09-01 01:00,Kauno regiono tinklas,NAMAS,G,196,0.072,
2022-09-01 02:00,Kauno regiono tinklas,NAMAS,G,196,0.083,
2022-09-01 03:00,Kauno regiono tinklas,NAMAS,G,196,1.991,
2022-09-01 04:00,Kauno regiono tinklas,NAMAS,G,196,1.961,
2022-09-01 05:00,Kauno regiono tinklas,NAMAS,G,196,0.238,
2022-09-01 06:00,Kauno regiono tinklas,NAMAS,G,196,0.059,
2022-09-01 07:00,Kauno regiono tinklas,NAMAS,G,196,0.069,
2022-09-01 08:00,Kauno regiono tinklas,NAMAS,G,196,0.054,
2022-09-01 09:00,Kauno regiono tinklas,NAMAS,G,196,0.066,
2022-09-01 10:00,Kauno regiono tinklas,NAMAS,G,196,0.073,
2022-09-01 11:00,Kauno regiono tinklas,NAMAS,G,196,0.055,
2022-09-01 12:00,Kauno regiono tinklas,NAMAS,G,196,0.047,
2022-09-01 13:00,Kauno regiono tinklas,NAMAS,G,196,0.068,
2022-09-01 14:00,Kauno regiono tinklas,NAMAS,G,196,0.22,
2022-09-01 15:00,Kauno regiono tinklas,NAMAS,G,196,1.799,
2022-09-01 16:00,Kauno regiono tinklas,NAMAS,G,196,0.676,
2022-09-01 17:00,Kauno regiono tinklas,NAMAS,G,196,0.91,
2022-09-01 18:00,Kauno regiono tinklas,NAMAS,G,196,1.144,
2022-09-01 19:00,Kauno regiono tinklas,NAMAS,G,196,1.715,
2022-09-01 20:00,Kauno regiono tinklas,NAMAS,G,196,0.353,
2022-09-01 21:00,Kauno regiono tinklas,NAMAS,G,196,0.082,
2022-09-01 22:00,Kauno regiono tinklas,NAMAS,G,196,0.098,
2022-09-01 23:00,Kauno regiono tinklas,NAMAS,G,196,0.076,
2022-09-02 00:00,Kauno regiono tinklas,NAMAS,G,196,0.072,
2022-09-02 01:00,Kauno regiono tinklas,NAMAS,G,196,0.074,
2022-09-02 02:00,Kauno regiono tinklas,NAMAS,G,196,0.449,
2022-09-02 03:00,Kauno regiono tinklas,NAMAS,G,196,2.554,
2022-09-02 04:00,Kauno regiono tinklas,NAMAS,G,196,1.572,
2022-09-02 05:00,Kauno regiono tinklas,NAMAS,G,196,0.651,
2022-09-02 06:00,Kauno regiono tinklas,NAMAS,G,196,0.08,
2022-09-02 07:00,Kauno regiono tinklas,NAMAS,G,196,0.067,
2022-09-02 08:00,Kauno regiono tinklas,NAMAS,G,196,0.059,
2022-09-02 09:00,Kauno regiono tinklas,NAMAS,G,196,0.072,
2022-09-02 10:00,Kauno regiono tinklas,NAMAS,G,196,0.181,
2022-09-02 11:00,Kauno regiono tinklas,NAMAS,G,196,1.494,
2022-09-02 12:00,Kauno regiono tinklas,NAMAS,G,196,0.582,
2022-09-02 13:00,Kauno regiono tinklas,NAMAS,G,196,0.054,
2022-09-02 14:00,Kauno regiono tinklas,NAMAS,G,196,0.07,
2022-09-02 15:00,Kauno regiono tinklas,NAMAS,G,196,0.07,
2022-09-02 16:00,Kauno regiono tinklas,NAMAS,G,196,0.06,
2022-09-02 17:00,Kauno regiono tinklas,NAMAS,G,196,0.062,
2022-09-02 18:00,Kauno regiono tinklas,NAMAS,G,196,0.052,
2022-09-02 19:00,Kauno regiono tinklas,NAMAS,G,196,0.055,
2022-09-02 20:00,Kauno regiono tinklas,NAMAS,G,196,0.056,
2022-09-02 21:00,Kauno regiono tinklas,NAMAS,G,196,0.074,
2022-09-02 22:00,Kauno regiono tinklas,NAMAS,G,196,0.046,
2022-09-02 23:00,Kauno regiono tinklas,NAMAS,G,196,0.074,
2022-09-03 00:00,Kauno regiono tinklas,NAMAS,G,196,0.057,
2022-09-03 01:00,Kauno regiono tinklas,NAMAS,G,196,0.051,
2022-09-03 02:00,Kauno regiono tinklas,NAMAS,G,196,0.058,
2022-09-03 03:00,Kauno regiono tinklas,NAMAS,G,196,0.046,
2022-09-03 04:00,Kauno regiono tinklas,NAMAS,G,196,0.072,
2022-09-03 05:00,Kauno regiono tinklas,NAMAS,G,196,0.065,
2022-09-03 06:00,Kauno regiono tinklas,NAMAS,G,196,0.046,
2022-09-03 07:00,Kauno regiono tinklas,NAMAS,G,196,0.063,
2022-09-03 08:00,Kauno regiono tinklas,NAMAS,G,196,0.043,
2022-09-03 09:00,Kauno regiono tinklas,NAMAS,G,196,0.057,
2022-09-03 10:00,Kauno regiono tinklas,NAMAS,G,196,0.074,
2022-09-03 11:00,Kauno regiono tinklas,NAMAS,G,196,0.046,
2022-09-03 12:00,Kauno regiono tinklas,NAMAS,G,196,0.075,
2022-09-03 13:00,Kauno regiono tinklas,NAMAS,G,196,0.057,
2022-09-03 14:00,Kauno regiono tinklas,NAMAS,G,196,0.169,
2022-09-03 15:00,Kauno regiono tinklas,NAMAS,G,196,0.064,
2022-09-03 16:00,Kauno regiono tinklas,NAMAS,G,196,0.06,
2022-09-03 17:00,Kauno regiono tinklas,NAMAS,G,196,0.059,
2022-09-03 18:00,Kauno regiono tinklas,NAMAS,G,196,0.25,
2022-09-03 19:00,Kauno regiono tinklas,NAMAS,G,196,0.044,
2022-09-03 20:00,Kauno regiono tinklas,NAMAS,G,196,0.06,
2022-09-03 21:00,Kauno regiono tinklas,NAMAS,G,196,0.065,
2022-09-03 22:00,Kauno regiono tinklas,NAMAS,G,196,0.047,
2022-09-03 23:00,Kauno regiono tinklas,NAMAS,G,196,0.061,
2022-09-04 00:00,Kauno regiono tinklas,NAMAS,G,196,0.14,
2022-09-04 01:00,Kauno regiono tinklas,NAMAS,G,196,0.074,
2022-09-04 02:00,Kauno regiono tinklas,NAMAS,G,196,0.06,
2022-09-04 03:00,Kauno regiono tinklas,NAMAS,G,196,0.223,
2022-09-04 04:00,Kauno regiono tinklas,NAMAS,G,196,0.051,
2022-09-04 05:00,Kauno regiono tinklas,NAMAS,G,196,0.048,
2022-09-04 06:00,Kauno regiono tinklas,NAMAS,G,196,0.065,
2022-09-04 07:00,Kauno regiono tinklas,NAMAS,G,196,0.285,
2022-09-04 08:00,Kauno regiono tinklas,NAMAS,G,196,0.071,
2022-09-04 09:00,Kauno regiono tinklas,NAMAS,G,196,0.064,
2022-09-04 10:00,Kauno regiono tinklas,NAMAS,G,196,0.045,
2022-09-04 11:00,Kauno regiono tinklas,NAMAS,G,196,0.066,
2022-09-04 12:00,Kauno regiono tinklas,NAMAS,G,196,0.125,
2022-09-04 13:00,Kauno regiono tinklas,NAMAS,G,196,0.049,
2022-09-04 14:00,Kauno regiono tinklas,NAMAS,G,196,0.162,
2022-09-04 15:00,Kauno regiono tinklas,NAMAS,G,196,0.048,
2022-09-04 16:00,Kauno regiono tinklas,NAMAS,G,196,0.108,
2022-09-04 17:00,Kauno regiono tinklas,NAMAS,G,196,0.489,
2022-09-04 18:00,Kauno regiono tinklas,NAMAS,G,196,2.336,
2022-09-04 19:00,Kauno regiono tinklas,NAMAS,G,196,1.942,
2022-09-04 20:00,Kauno regiono tinklas,NAMAS,G,196,1.463,
2022-09-04 21:00,Kauno regiono tinklas,NAMAS,G,196,0.136437,
2022-09-04 22:00,Kauno regiono tinklas,NAMAS,G,196,0.155127,
2022-09-04 23:00,Kauno regiono tinklas,NAMAS,G,196,0.143913,
2022-09-05 00:00,Kauno regiono tinklas,NAMAS,G,196,0.171948,
2022-09-05 01:00,Kauno regiono tinklas,NAMAS,G,196,0.145782,
2022-09-05 02:00,Kauno regiono tinklas,NAMAS,G,196,0.781247,
2022-09-05 03:00,Kauno regiono tinklas,NAMAS,G,196,4.025854,
2022-09-05 04:00,Kauno regiono tinklas,NAMAS,G,196,3.6913,
2022-09-05 05:00,Kauno regiono tinklas,NAMAS,G,196,1.47652,
2022-09-05 06:00,Kauno regiono tinklas,NAMAS,G,196,0.399968,
2022-09-05 07:00,Kauno regiono tinklas,NAMAS,G,196,0.153258,
2022-09-05 08:00,Kauno regiono tinklas,NAMAS,G,196,0.11214,
2022-09-05 09:00,Kauno regiono tinklas,NAMAS,G,196,0.153258,
2022-09-05 10:00,Kauno regiono tinklas,NAMAS,G,196,0.089712,
2022-09-05 11:00,Kauno regiono tinklas,NAMAS,G,196,0.153258,
2022-09-05 12:00,Kauno regiono tinklas,NAMAS,G,196,0.123354,
2022-09-05 13:00,Kauno regiono tinklas,NAMAS,G,196,0.147651,
2022-09-05 14:00,Kauno regiono tinklas,NAMAS,G,196,0.119616,
2022-09-05 15:00,Kauno regiono tinklas,NAMAS,G,196,0.140175,
2022-09-05 16:00,Kauno regiono tinklas,NAMAS,G,196,0.156996,
2022-09-05 17:00,Kauno regiono tinklas,NAMAS,G,196,0.125223,
2022-09-05 18:00,Kauno regiono tinklas,NAMAS,G,196,1.968071,
