,price_eur_mwh,gen_solar_mw,gen_wind_onshore_mw,fc_solar_mw,fc_wind_onshore_mw,pvgis_solar_kwh,latitude,longitude
2020-01-01 00:00:00+02:00,,,,,,,54.8982139,23.9044817
2020-01-01 01:00:00+02:00,28.78,0.0,241.22,0.0,262.0,,54.8982139,23.9044817
2020-01-01 02:00:00+02:00,28.45,0.0,261.6,0.0,236.0,0.0,54.8982139,23.9044817
2020-01-01 03:00:00+02:00,27.9,0.0,248.42,0.0,227.0,0.0,54.8982139,23.9044817
2020-01-01 04:00:00+02:00,27.52,0.0,219.89,0.0,219.0,0.0,54.8982139,23.9044817
2020-01-01 05:00:00+02:00,27.54,0.0,228.64,0.0,211.0,0.0,54.8982139,23.9044817
2020-01-01 06:00:00+02:00,26.55,0.0,250.34,0.0,212.0,0.0,54.8982139,23.9044817
2020-01-01 07:00:00+02:00,25.83,0.0,277.91,0.0,214.0,0.0,54.8982139,23.9044817
2020-01-01 08:00:00+02:00,25.07,0.0,284.4,0.0,222.0,0.0,54.8982139,23.9044817
2020-01-01 09:00:00+02:00,25.65,2.0,285.88,4.0,238.0,0.0,54.8982139,23.9044817
2020-01-01 10:00:00+02:00,26.15,2.0,308.97,10.0,266.0,232.34,54.8982139,23.9044817
2020-01-01 11:00:00+02:00,26.77,6.78,327.84,16.0,287.0,375.92,54.8982139,23.9044817
2020-01-01 12:00:00+02:00,27.4,7.2,344.48,16.0,301.0,335.68,54.8982139,23.9044817
2020-01-01 13:00:00+02:00,28.08,6.52,348.93,14.0,311.0,515.85,54.8982139,23.9044817
2020-01-01 14:00:00+02:00,28.69,6.02,351.29,9.0,323.0,3.51,54.8982139,23.9044817
2020-01-01 15:00:00+02:00,29.37,2.0,350.94,2.0,336.0,0.69,54.8982139,23.9044817
2020-01-01 16:00:00+02:00,29.97,1.0,371.64,0.0,350.0,0.0,54.8982139,23.9044817
2020-01-01 17:00:00+02:00,30.46,0.0,396.64,0.0,360.0,0.0,54.8982139,23.9044817
2020-01-01 18:00:00+02:00,30.39,0.0,399.39,0.0,371.0,0.0,54.8982139,23.9044817
2020-01-01 19:00:00+02:00,30.06,0.0,396.11,0.0,380.0,0.0,54.8982139,23.9044817
2020-01-01 20:00:00+02:00,29.38,0.0,380.43,0.0,387.0,0.0,54.8982139,23.9044817
2020-01-01 21:00:00+02:00,27.65,0.0,381.88,0.0,393.0,0.0,54.8982139,23.9044817
2020-01-01 22:00:00+02:00,27.33,0.0,386.22,0.0,400.0,0.0,54.8982139,23.9044817
2020-01-01 23:00:00+02:00,25.88,0.0,386.82,0.0,405.0,0.0,54.8982139,23.9044817
2020-01-02 00:00:00+02:00,24.81,0.0,388.72,0.0,408.0,0.0,54.8982139,23.9044817
2020-01-02 01:00:00+02:00,12.07,0.0,392.69,0.0,379.0,0.0,54.8982139,23.9044817
2020-01-02 02:00:00+02:00,13.13,0.0,422.61,0.0,376.0,0.0,54.8982139,23.9044817
2020-01-02 03:00:00+02:00,19.07,0.0,417.61,0.0,378.0,0.0,54.8982139,23.9044817
2020-01-02 04:00:00+02:00,21.12,0.0,424.04,0.0,383.0,0.0,54.8982139,23.9044817
