PL_T,TINKLAS,OBJ_PAVADINIMAS,OBJ_GV_TIPAS,OBJ_NUMERIS,P+,P-
2020-06-01 00:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1318,0.0
2020-06-01 01:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1491,0.0
2020-06-01 02:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.5346,0.0
2020-06-01 03:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.3459,0.0
2020-06-01 04:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.102,0.0005
2020-06-01 05:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0816,0.0275
2020-06-01 06:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.4174,0.1346
2020-06-01 07:00:00,Šiaulių regiono tinklas,Namas,G,832672,1.1963,0.2764
2020-06-01 08:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.9929,1.3605
2020-06-01 09:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.8327,2.3607
2020-06-01 10:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.5294,3.2306
2020-06-01 11:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0847,5.1999
2020-06-01 12:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1829,4.7041
2020-06-01 13:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0,5.883
2020-06-01 14:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0,6.6265
2020-06-01 15:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0,6.7549
2020-06-01 16:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0576,6.037
2020-06-01 17:00:00,Šiaulių regiono tinklas,Namas,G,832672,1.192,2.0495
2020-06-01 18:00:00,Šiaulių regiono tinklas,Namas,G,832672,1.4462,1.241
2020-06-01 19:00:00,Šiaulių regiono tinklas,Namas,G,832672,1.1333,1.35
2020-06-01 20:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0683,0.7958
2020-06-01 21:00:00,Šiaulių regiono tinklas,Namas,G,832672,2.1665,0.0358
2020-06-01 22:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.533,0.0
2020-06-01 23:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1091,0.0
2020-06-02 00:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1034,0.0
2020-06-02 01:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.5573,0.0
2020-06-02 02:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1258,0.0
2020-06-02 03:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.326,0.0
2020-06-02 04:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1288,0.0003
2020-06-02 05:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.5797,0.0324
2020-06-02 06:00:00,Šiaulių regiono tinklas,Namas,G,832672,2.2028,0.0393
2020-06-02 07:00:00,Šiaulių regiono tinklas,Namas,G,832672,1.7553,0.2911
2020-06-02 08:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0007,1.6993
2020-06-02 09:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0,3.4722
2020-06-02 10:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0001,4.9336
2020-06-02 11:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0324,5.6696
2020-06-02 12:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0,6.7482
2020-06-02 13:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0,7.1901
2020-06-02 14:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0001,5.934
2020-06-02 15:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0,5.1283
2020-06-02 16:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0001,4.1369
2020-06-02 17:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0008,3.2344
2020-06-02 18:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.4067,2.7147
2020-06-02 19:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.4324,1.677
2020-06-02 20:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.279,0.7602
2020-06-02 21:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1539,0.0794
2020-06-02 22:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.168,0.0
2020-06-02 23:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.5734,0.0
2020-06-03 00:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1278,0.0
2020-06-03 01:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1381,0.0
2020-06-03 02:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1105,0.0
2020-06-03 03:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.3538,0.0
2020-06-03 04:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1174,0.0
2020-06-03 05:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.3181,0.0461
2020-06-03 06:00:00,Šiaulių regiono tinklas,Namas,G,832672,1.711,0.15
2020-06-03 07:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0054,0.8439
2020-06-03 08:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0002,1.7426
2020-06-03 09:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.255,1.7165
2020-06-03 10:00:00,Šiaulių regiono tinklas,Namas,G,832672,1.3096,1.548
2020-06-03 11:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0412,2.1934
2020-06-03 12:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0005,1.1843
2020-06-03 13:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0617,1.3083
2020-06-03 14:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.3298,1.4425
2020-06-03 15:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0001,1.7522
2020-06-03 16:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0007,2.6661
2020-06-03 17:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.6895,2.1328
2020-06-03 18:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.2181,1.6211
2020-06-03 19:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.7866,0.7255
2020-06-03 20:00:00,Šiaulių regiono tinklas,Namas,G,832672,1.1788,0.6515
2020-06-03 21:00:00,Šiaulių regiono tinklas,Namas,G,832672,2.2778,0.0245
2020-06-03 22:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.306,0.0002
2020-06-03 23:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1152,0.0001
2020-06-04 00:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1659,0.0
2020-06-04 01:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0964,0.0
2020-06-04 02:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.5271,0.0
2020-06-04 03:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.3461,0.0
2020-06-04 04:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1134,0.0
2020-06-04 05:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.5574,0.0278
2020-06-04 06:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.6805,0.1457
2020-06-04 07:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.4331,0.4923
2020-06-04 08:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.5371,1.2897
2020-06-04 09:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.9865,2.21
2020-06-04 10:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1429,4.3561
2020-06-04 11:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0296,4.7343
2020-06-04 12:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.621,3.5105
2020-06-04 13:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0362,5.8043
2020-06-04 14:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.3402,5.0215
2020-06-04 15:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.2093,2.985
2020-06-04 16:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0043,3.6978
2020-06-04 17:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.897,1.2271
2020-06-04 18:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.046,1.8347
2020-06-04 19:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0,2.3825
2020-06-04 20:00:00,Šiaulių regiono tinklas,Namas,G,832672,1.2439,0.6161
2020-06-04 21:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.7131,0.0401
2020-06-04 22:00:00,Šiaulių regiono tinklas,Namas,G,832672,2.1358,0.0
2020-06-04 23:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.6101,0.0
2020-06-05 00:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1693,0.0
2020-06-05 01:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1556,0.0
2020-06-05 02:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.1554,0.0001
2020-06-05 03:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.3081,0.0
2020-06-05 04:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.5498,0.0002
2020-06-05 05:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.3424,0.0183
2020-06-05 06:00:00,Šiaulių regiono tinklas,Namas,G,832672,1.1667,0.0734
2020-06-05 07:00:00,Šiaulių regiono tinklas,Namas,G,832672,1.8577,0.1797
2020-06-05 08:00:00,Šiaulių regiono tinklas,Namas,G,832672,1.2052,1.3557
2020-06-05 09:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.058,3.1563
2020-06-05 10:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.3528,3.9096
2020-06-05 11:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.2419,4.1288
2020-06-05 12:00:00,Šiaulių regiono tinklas,Namas,G,832672,0.0,6.1813
